Zip Code,Priority,Type,Latitude,Longitude
94103,3,Potentially Life-Threatening,37.77651282,-122.4149667
94102,3,Alarm,37.78640961,-122.4080362
94103,2,Non Life-threatening,37.78139813,-122.4092454
94110,2,Non Life-threatening,37.76129048,-122.4072554
94102,3,Potentially Life-Threatening,37.78233759,-122.4138914
94110,3,Fire,37.76042745,-122.410962
94117,3,Fire,37.77025923,-122.4318323
94107,3,Potentially Life-Threatening,37.76060062,-122.3973793
94103,3,Potentially Life-Threatening,37.77952317,-122.4126393
94117,3,Potentially Life-Threatening,37.7773216,-122.449116
94109,3,Potentially Life-Threatening,37.7881263,-122.4176572
94102,3,Alarm,37.783359,-122.4166949
94105,3,Alarm,37.78726854,-122.4001889
94117,3,Potentially Life-Threatening,37.7702426,-122.4296382
94122,3,Potentially Life-Threatening,37.76403274,-122.5094022
94102,3,Potentially Life-Threatening,37.78241705,-122.4208105
94103,3,Alarm,37.77527206,-122.4159082
94105,2,Non Life-threatening,37.78788961,-122.401043
94109,2,Potentially Life-Threatening,37.78367395,-122.415073
94107,3,Non Life-threatening,37.75219765,-122.3974777
94103,3,Potentially Life-Threatening,37.77953108,-122.4135425
94114,2,Non Life-threatening,37.7625884,-122.4325313
94117,3,Potentially Life-Threatening,37.77016312,-122.4461504
94103,3,Potentially Life-Threatening,37.77409486,-122.4200014
94102,3,Potentially Life-Threatening,37.78149663,-122.4163145
94124,3,Potentially Life-Threatening,37.73485505,-122.3794869
94109,2,Potentially Life-Threatening,37.79057826,-122.4206874
94112,3,Potentially Life-Threatening,37.72094713,-122.4531654
94103,3,Potentially Life-Threatening,37.77091334,-122.420305
94103,2,Potentially Life-Threatening,37.76505134,-122.419669
94124,3,Potentially Life-Threatening,37.73295563,-122.3875908
94110,3,Alarm,37.75366959,-122.4222784
94102,2,Non Life-threatening,37.77708346,-122.4169793
94102,2,Non Life-threatening,37.78480739,-122.4136154
94103,3,Potentially Life-Threatening,37.76505134,-122.419669
94107,3,Alarm,37.77732776,-122.3930886
94117,3,Potentially Life-Threatening,37.77874221,-122.4304635
94109,3,Potentially Life-Threatening,37.7854812,-122.4212035
94110,3,Alarm,37.75599844,-122.4094331
94103,3,Alarm,37.77527206,-122.4159082
94103,3,Potentially Life-Threatening,37.78512515,-122.404966
94102,3,Potentially Life-Threatening,37.78258503,-122.4156939
94109,3,Potentially Life-Threatening,37.79154569,-122.4200366
94103,3,Potentially Life-Threatening,37.78512515,-122.404966
94107,3,Alarm,37.78316766,-122.3978255
94102,3,Potentially Life-Threatening,37.77782816,-122.4249247
